,Report Type,Program,Activity,Latitude,Longitude,Activity Date,Submission Date,Start Time,End Time,Length hours,Length minutes,,ROU,Death,Nurse Practitioner Consults,Nursing/Paramedic Consults,Conversations about health education,Allied Health,Fleed,Patient Conversations,Service provider conversations,Mental health,Suicide prevention/planning,Substance use,Medication education,Impacted Region,Telehealth consults that happened at Clinic,Patient Feedback Received,Service Provider Feedback Received,Complete debrief,Complete all progress notes,Enter all doctor and nurse practitioner appointments,Wipe down clinic area,Shift Safety
0,Default,Kyiv,Scope of Airstrikes,50.45,30.5236,29-02-2022,29-02-2022,8:20 PM,10:15 PM,1.55,500,,12,12,0,5,0,0,87000,15,0,0,0,0,0,12,0,,,Yes,Yes,No,Yes,5
1,Default,Kharkiv,Russia Controlled Regions,50,36.2292,24-02-2022,24-02-2022,8:30 PM,10:50 PM,2.2,3000,,22,22,0,4,0,0,15000,9,0,0,0,0,0,22,0,,,Yes,Yes,Yes,Yes,5
2,Default,Donetsk,Russia Controlled Regions,48.0089,37.8042,23-02-2022,23-02-2022,9:02 PM,10:15 PM,0.55,3000,,2,2,0,2,0,0,11200,12,0,0,0,0,0,2,0,,,Yes,Yes,No,Yes,5
3,Default,Mariupol,Scope of Airstrikes,47.1306,37.5639,24-02-2022,24-02-2022,8:20 PM,10:15 PM,1.55,500,,6,6,0,5,0,0,12312,15,0,0,0,0,0,6,0,,,,,,,
4,Covid Clinic,Chernihiv,Russia Controlled Regions,51.4939,31.2947,28-02-2022,28-02-2022,9:00 AM,5:00 PM,8,3000,,3,3,0,0,0,0,12312,0,0,0,0,0,0,3,0,,,,,,,
5,Default,Sumy,Scope of Airstrikes,50.9068,34.7992,22-02-2022,22-02-2022,9:20 PM,10:15 PM,0.55,500,,2,2,0,2,0,0,123111,12,0,0,0,0,0,2,0,,,,,,,
6,Default,Stanytsia Luhanska,Scope of Airstrikes,48.6667,39.4667,20-02-2022,20-02-2022,8:00 PM,10:15 PM,2.15,500,,6,6,0,2,0,0,56432,5,0,0,0,0,0,6,0,,,,,,,
7,Default,Dnipro,Scope of Airstrikes,48.4647,35.0462,21-02-2022,21-02-2022,9:00 PM,11:15 PM,2.15,500,,9,9,,,,,103452.3,,,,,,,9,,,,,,,,
8,Default,Luhansk,Russia Controlled Regions,48.574,39.3078,22-02-2022,22-02-2022,10:00 PM,12:15 AM,2.15,3000,,23,23,,,,,123578.6,,,,,,,23,,,,,,,,
9,Default,Crimea,Russia Controlled Regions,45.3453,34.4997,23-02-2022,23-02-2022,11:00 PM,1:15 AM,2.15,3000,,11,11,,,,,143704.9,,,,,,,11,,,,,,,,
10,Default,Kherson,Russia Controlled Regions,46.6354,32.6169,24-02-2022,24-02-2022,12:00 AM,2:15 AM,2.15,3000,,7,7,,,,,163831.2,,,,,,,7,,,,,,,,
11,Default,Mykolaiv,Scope of Airstrikes,46.975,31.9946,25-02-2022,25-02-2022,1:00 AM,3:05 AM,2.15,500,,6,6,,,,,183957.5,,,,,,,6,,,,,,,,
12,Default,Odessa,Scope of Airstrikes,46.4825,30.7233,26-02-2022,26-02-2022,2:00 AM,4:15 AM,2.15,500,,6,6,,,,,204083.8,,,,,,,6,,,,,,,,
13,Default,Poltava,Scope of Airstrikes,49.5883,34.5514,27-02-2022,27-02-2022,3:00 AM,5:15 AM,2.15,500,,41,41,,,,,224210.1,,,,,,,41,,,,,,,,
14,Default,Melitopol,Russia Controlled Regions,46.855,35.3587,28-02-2022,28-02-2022,4:00 AM,6:15 AM,2.15,3000,,22,22,,,,,244336.4,,,,,,,22,,,,,,,,